city,state,population,latitude,longitude,gestation_8_duration,gestation_8_duration_closed,gestation_12_duration,gestation_12_duration_closed,gestation_16_duration,gestation_16_duration_closed,gestation_20_duration,gestation_20_duration_closed,"% change in abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2011-2014","% change in the no. of clinics, 2011-2014","% of all U.S. abortions, by state of occurrence, 2014","% of counties without a known clinic, 2014 [2]","% of women aged 15-44 living in a county without a clinic, 2014 [4]","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of occurrence, 2014","Abortion rate (the no. of abortions per 1,000 women aged 15-44), by state of residence, 2014 [1]","Change in the no. of clinics, 2011-2014","No. of abortions, by state of occurrence, 2014 [3]","No. of abortions, by state of residence, 2014 [5]","No. of clinics, 2014"
Bowling Green,Kentucky,63616,36.968522,-86.480804,2,2,2,2,2,3,5,7,-11,0,0.4,98,74,4.1,6,0,"3,530","5,180",2
Owensboro,Kentucky,59042,37.771907,-87.111168,3,4,3,4,3,4,6,6,-11,0,0.4,98,74,4.1,6,0,"3,530","5,180",2
Portland,Oregon,632309,45.523062,-122.67648100000001,0,0,0,0,0,4,0,4,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Salem,Oregon,164549,44.942898,-123.035096,0,1,0,1,1,6,1,6,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Eugene,Oregon,163460,44.052069,-123.086754,0,2,0,2,3,7,3,7,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Gresham,Oregon,110553,45.500136,-122.430201,0,1,0,1,1,4,1,4,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Hillsboro,Oregon,102347,45.522894,-122.989827,0,0,1,1,1,5,1,5,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Beaverton,Oregon,96577,45.487062,-122.80371000000001,0,0,0,0,0,4,0,4,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Bend,Oregon,87014,44.058173,-121.31531000000001,0,4,0,4,6,8,6,8,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Medford,Oregon,79805,42.326515,-122.87559499999999,0,5,5,5,5,7,8,9,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Springfield,Oregon,60870,44.046236,-123.022029,0,2,0,2,3,7,3,7,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Corvallis,Oregon,55780,44.564566,-123.26204399999999,1,1,1,1,3,7,3,7,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Albany,Oregon,52175,44.636511,-123.105928,1,1,1,1,2,6,2,6,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Tigard,Oregon,51253,45.431228999999995,-122.77148600000001,0,0,0,0,0,4,0,4,-15,0,1,78,30,12,11,0,"9,330","8,760",15
Las Vegas,Nevada,623747,36.169940999999994,-115.13983,0,0,0,0,0,0,0,0,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
Henderson,Nevada,285667,36.039525,-114.981721,0,0,0,0,0,0,0,0,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
Reno,Nevada,241445,39.529633000000004,-119.81380300000001,0,3,0,3,0,3,0,3,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
North Las Vegas,Nevada,234807,36.198859000000006,-115.117501,0,0,0,0,0,0,0,0,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
Sparks,Nevada,96094,39.534911,-119.75268899999999,0,3,0,3,0,3,0,3,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
Carson City,Nevada,54521,39.163798,-119.767403,1,4,1,4,1,4,1,4,-6,0,1.2,88,9,19.4,19,0,"10,970","10,840",8
Milwaukee,Wisconsin,600155,43.038902,-87.906474,0,0,0,0,0,0,0,2,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Madison,Wisconsin,248951,43.073052000000004,-89.40123,0,2,0,2,0,2,2,4,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Green Bay,Wisconsin,105207,44.519159,-88.019826,3,3,3,3,3,3,3,8,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Kenosha,Wisconsin,99858,42.584742,-87.821185,1,1,1,1,1,1,1,1,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Racine,Wisconsin,77742,42.726131,-87.782852,1,1,1,1,1,1,1,2,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Appleton,Wisconsin,74139,44.261931,-88.415385,3,3,3,3,3,3,3,5,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Waukesha,Wisconsin,71970,43.011678,-88.231481,0,0,0,0,0,0,0,2,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Eau Claire,Wisconsin,67778,44.811349,-91.498494,2,2,2,2,2,2,2,2,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Oshkosh,Wisconsin,66555,44.024706,-88.542614,2,2,2,2,2,2,2,4,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Janesville,Wisconsin,64123,42.682789,-89.018722,1,2,1,2,1,2,2,3,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
West Allis,Wisconsin,60620,43.016681,-88.00703100000001,0,0,0,0,0,0,0,2,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
La Crosse,Wisconsin,52306,43.801356,-91.239581,4,4,4,4,4,4,4,4,-21,0,0.7,96,67,5.6,7,0,"6,050","7,430",4
Albuquerque,New Mexico,559121,35.085334,-106.605553,0,0,0,0,0,0,0,12,-10,29,0.5,91,48,11.7,10,2,"4,650","4,030",9
Las Cruces,New Mexico,101643,32.31994,-106.763654,1,1,1,1,6,6,6,11,-10,29,0.5,91,48,11.7,10,2,"4,650","4,030",9
Rio Rancho,New Mexico,94171,35.232754,-106.663044,0,0,0,0,0,0,0,12,-10,29,0.5,91,48,11.7,10,2,"4,650","4,030",9
Santa Fe,New Mexico,84099,35.686975,-105.937799,0,2,2,2,2,2,2,11,-10,29,0.5,91,48,11.7,10,2,"4,650","4,030",9
Kansas City,Missouri,475378,39.099727,-94.578567,0,0,0,0,0,0,0,0,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
St. Louis,Missouri,315685,38.627003,-90.199404,0,0,0,0,0,0,0,0,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
Springfield,Missouri,166810,37.208957,-93.292299,4,5,5,5,5,5,5,5,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
Independence,Missouri,117255,39.091116,-94.41550699999999,0,0,0,0,0,0,0,0,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
Columbia,Missouri,119108,38.951705,-92.33407199999999,3,4,3,4,3,4,3,4,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
Lee's Summit,Missouri,95094,38.910841,-94.382172,0,0,0,0,0,0,0,0,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
O'Fallon,Missouri,85040,38.810608,-90.699848,1,1,1,1,1,1,1,1,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
St. Joseph,Missouri,76596,39.767458000000005,-94.846681,2,2,2,2,2,2,2,2,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
St. Charles,Missouri,68796,38.788106,-90.497436,1,1,1,1,1,1,1,1,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
St. Peters,Missouri,56971,38.78747,-90.629892,1,1,1,1,1,1,1,1,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
Blue Springs,Missouri,54148,39.016951,-94.281615,0,0,0,0,0,0,0,0,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
Florissant,Missouri,52268,38.789217,-90.322614,0,0,0,0,0,0,0,0,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
Joplin,Missouri,51818,37.084227,-94.513281,3,3,3,4,4,4,4,4,-12,-75,0.6,99,94,4.4,8,-3,"5,130","9,180",1
Virginia Beach,Virginia,452745,36.852926000000004,-75.977985,0,0,0,0,3,6,6,6,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Norfolk,Virginia,246393,36.850769,-76.285873,0,0,0,0,3,6,6,6,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Chesapeake,Virginia,235429,36.768209000000006,-76.28749300000001,0,0,0,0,3,5,5,6,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Richmond,Virginia,220289,37.540725,-77.436048,0,0,0,0,0,3,3,3,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Newport News,Virginia,182385,37.087082,-76.473012,1,1,1,1,2,5,5,5,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Alexandria,Virginia,153511,38.804836,-77.046921,0,0,0,0,0,0,0,0,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Hampton,Virginia,136454,37.029869,-76.34522199999999,0,0,0,1,2,5,5,5,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Roanoke,Virginia,99897,37.27097,-79.941427,0,3,0,3,4,5,4,5,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Portsmouth,Virginia,96201,36.835426,-76.29827399999999,0,0,0,0,3,6,6,6,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Suffolk,Virginia,88161,36.728204999999996,-76.583562,1,1,1,1,3,5,5,5,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Lynchburg,Virginia,79812,37.413754,-79.142246,2,2,2,2,4,4,4,4,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Harrisonburg,Virginia,52538,38.449569,-78.868915,2,3,2,3,3,3,4,4,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Leesburg,Virginia,51209,39.115662,-77.563601,1,1,1,1,1,1,1,1,-23,-14,2.3,92,78,12.5,15,-3,"21,080","24,590",18
Atlanta,Georgia,463878,33.748995,-84.387982,0,0,0,0,0,0,0,0,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Columbus,Georgia,200579,32.460976,-84.987709,0,2,0,2,3,3,3,3,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Augusta,Georgia,197182,33.473498,-82.010515,0,2,0,2,0,4,4,4,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Savannah,Georgia,145674,32.083541,-81.099834,0,3,0,3,0,4,4,4,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Athens,Georgia,122604,33.951935,-83.357567,1,2,2,2,2,2,2,2,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Sandy Springs,Georgia,105330,33.930434999999996,-84.373315,0,0,0,0,0,0,0,0,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Roswell,Georgia,94501,34.023243,-84.36155500000001,0,0,0,0,0,0,0,0,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Macon,Georgia,153515,32.840695000000004,-83.632402,2,2,2,2,2,2,2,3,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Johns Creek,Georgia,83335,34.028926,-84.19857900000001,0,0,0,1,1,1,1,1,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Albany,Georgia,74843,31.578507000000002,-84.155741,3,3,3,3,5,5,5,6,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Warner Robins,Georgia,73490,32.613001000000004,-83.624201,3,3,3,3,3,3,3,3,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Alpharetta,Georgia,63693,34.075376,-84.29409,0,0,0,0,0,1,0,1,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Marietta,Georgia,59067,33.952602,-84.549933,0,0,0,0,0,0,0,0,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Valdosta,Georgia,55724,30.832702,-83.278485,3,3,3,3,3,3,3,3,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Smyrna,Georgia,56146,33.883993,-84.514376,0,0,0,0,0,0,0,0,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Brookhaven,Georgia,51910,33.865103000000005,-84.33659200000001,0,0,0,0,0,0,0,0,-7,-11,3.6,96,58,15.7,15,-2,"33,000","31,420",17
Omaha,Nebraska,443885,41.252363,-95.997988,0,0,0,0,0,0,0,5,-13,0,0.2,97,41,6.3,6,0,"2,280","2,360",3
Lincoln,Nebraska,277348,40.825763,-96.685198,0,1,0,1,0,1,2,6,-13,0,0.2,97,41,6.3,6,0,"2,280","2,360",3
Bellevue,Nebraska,55510,41.154362,-95.91455699999999,0,0,0,0,0,0,0,5,-13,0,0.2,97,41,6.3,6,0,"2,280","2,360",3
Grand Island,Nebraska,51440,40.926396000000004,-98.342012,3,4,3,4,3,4,4,8,-13,0,0.2,97,41,6.3,6,0,"2,280","2,360",3
Minneapolis,Minnesota,410939,44.977753,-93.265011,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
St. Paul,Minnesota,300851,44.953703000000004,-93.089958,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Rochester,Minnesota,112225,44.012122,-92.480199,2,2,2,2,2,2,2,2,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Bloomington,Minnesota,86435,44.840798,-93.29828,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Duluth,Minnesota,86110,46.786671999999996,-92.10048499999999,0,4,0,4,4,4,4,4,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Brooklyn Park,Minnesota,79149,45.094132,-93.356341,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Plymouth,Minnesota,75907,45.010519,-93.45550899999999,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
St. Cloud,Minnesota,67109,45.557945000000004,-94.16324,2,2,2,2,2,2,2,2,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Woodbury,Minnesota,67855,44.923854999999996,-92.95938000000001,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Eagan,Minnesota,66286,44.804132,-93.166886,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Maple Grove,Minnesota,68385,45.072464000000004,-93.455788,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Eden Prairie,Minnesota,63496,44.854686,-93.470786,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Coon Rapids,Minnesota,62240,45.173239,-93.30300600000001,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Burnsville,Minnesota,61481,44.767742,-93.277723,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Blaine,Minnesota,62124,45.160799,-93.234949,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Lakeville,Minnesota,60633,44.649687,-93.24271999999999,1,1,1,1,1,1,1,1,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Minnetonka,Minnesota,51669,44.921184000000004,-93.468749,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Apple Valley,Minnesota,51221,44.731909,-93.21772,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Edina,Minnesota,50138,44.889687,-93.349949,0,0,0,0,0,0,0,0,-13,-14,1.1,95,59,9.3,9,-1,"9,760","9,230",6
Wichita,Kansas,389965,37.687176,-97.330053,0,4,0,4,0,4,0,4,4,33,0.8,97,56,12.9,7,1,"7,240","3,800",4
Overland Park,Kansas,186515,38.982228000000006,-94.670792,0,0,0,0,0,0,0,0,4,33,0.8,97,56,12.9,7,1,"7,240","3,800",4
Kansas City,Kansas,151306,39.114053000000006,-94.627464,0,0,0,0,0,0,0,0,4,33,0.8,97,56,12.9,7,1,"7,240","3,800",4
Olathe,Kansas,134305,38.881396,-94.819128,0,0,0,0,0,0,0,0,4,33,0.8,97,56,12.9,7,1,"7,240","3,800",4
Topeka,Kansas,127265,39.055824,-95.689018,2,2,2,2,2,2,2,2,4,33,0.8,97,56,12.9,7,1,"7,240","3,800",4
Lawrence,Kansas,93917,38.971669,-95.23525,1,1,1,1,1,1,1,1,4,33,0.8,97,56,12.9,7,1,"7,240","3,800",4
Shawnee,Kansas,65046,39.022847999999996,-94.715187,0,0,0,0,0,0,0,0,4,33,0.8,97,56,12.9,7,1,"7,240","3,800",4
Manhattan,Kansas,56308,39.183608,-96.571669,3,3,3,3,3,3,3,3,4,33,0.8,97,56,12.9,7,1,"7,240","3,800",4
Lenexa,Kansas,52490,38.953617,-94.733571,0,0,0,0,0,0,0,0,4,33,0.8,97,56,12.9,7,1,"7,240","3,800",4
New Orleans,Louisiana,389617,29.951065999999997,-90.07153199999999,0,2,0,2,0,2,8,10,-18,-29,1.1,92,63,10.8,10,-2,"10,150","9,320",5
Baton Rouge,Louisiana,228590,30.449240000000003,-91.18560699999999,0,2,0,2,0,2,7,10,-18,-29,1.1,92,63,10.8,10,-2,"10,150","9,320",5
Shreveport,Louisiana,197204,32.525152,-93.750179,0,5,0,5,0,5,5,6,-18,-29,1.1,92,63,10.8,10,-2,"10,150","9,320",5
Lafayette,Louisiana,127657,30.224090000000004,-92.01984300000001,2,4,2,4,2,4,6,11,-18,-29,1.1,92,63,10.8,10,-2,"10,150","9,320",5
Lake Charles,Louisiana,76070,30.226595,-93.217376,4,4,4,4,4,4,4,9,-18,-29,1.1,92,63,10.8,10,-2,"10,150","9,320",5
Kenner,Louisiana,67091,29.994092,-90.241743,0,2,0,2,0,2,8,10,-18,-29,1.1,92,63,10.8,10,-2,"10,150","9,320",5
Bossier City,Louisiana,68094,32.515985,-93.732123,0,5,0,5,0,5,5,6,-18,-29,1.1,92,63,10.8,10,-2,"10,150","9,320",5
Newark,New Jersey,281944,40.735657,-74.17236700000001,0,0,0,1,1,1,1,1,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Jersey City,New Jersey,264290,40.728157,-74.077642,0,0,0,1,1,1,1,1,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Paterson,New Jersey,147754,40.916765000000005,-74.171811,0,0,0,0,0,0,0,0,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Elizabeth,New Jersey,129007,40.663992,-74.210701,0,0,0,0,0,1,0,1,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Clifton,New Jersey,86334,40.858433000000005,-74.16375500000001,0,0,0,0,0,0,0,0,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Trenton,New Jersey,84225,40.217053,-74.742938,0,0,0,0,0,1,1,1,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Camden,New Jersey,76119,39.925946,-75.11962,0,0,0,0,0,0,0,0,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Passaic,New Jersey,71085,40.856766,-74.128476,0,0,0,0,0,0,0,0,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Union City,New Jersey,69156,40.779545,-74.023751,0,0,0,0,0,0,0,0,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Bayonne,New Jersey,66311,40.668714,-74.11430899999999,0,0,0,0,0,0,0,0,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
East Orange,New Jersey,64949,40.767323,-74.204868,0,0,0,0,0,1,0,1,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Vineland,New Jersey,60818,39.486377000000005,-75.025964,1,1,1,1,1,1,1,1,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
New Brunswick,New Jersey,57035,40.486216,-74.451819,0,0,0,1,0,1,0,1,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Hoboken,New Jersey,53635,40.743990999999994,-74.032363,0,0,0,0,0,0,0,0,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
West New York,New Jersey,53366,40.787879,-74.014306,0,0,0,0,0,0,0,0,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Perth Amboy,New Jersey,52682,40.506772,-74.265423,0,0,0,0,0,1,0,1,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Plainfield,New Jersey,51217,40.633714000000005,-74.407374,0,0,0,0,0,1,0,1,-5,71,4.8,33,23,25.8,26,17,"44,460","43,990",41
Boise City,Idaho,218281,43.61871,-116.214607,0,0,0,8,8,10,10,11,-23,50,0.1,95,68,4.2,6,1,"1,320","1,790",3
Nampa,Idaho,89839,43.540717,-116.56346200000002,0,1,0,8,8,10,10,11,-23,50,0.1,95,68,4.2,6,1,"1,320","1,790",3
Meridian,Idaho,90739,43.612109000000004,-116.39151299999999,0,0,0,8,8,10,10,11,-23,50,0.1,95,68,4.2,6,1,"1,320","1,790",3
Idaho Falls,Idaho,59184,43.491651,-112.03396399999998,3,4,3,6,6,8,6,11,-23,50,0.1,95,68,4.2,6,1,"1,320","1,790",3
Pocatello,Idaho,54441,42.871303000000005,-112.44553400000001,3,4,4,4,4,10,4,12,-23,50,0.1,95,68,4.2,6,1,"1,320","1,790",3
Caldwell,Idaho,51686,43.662938,-116.68736000000001,0,1,0,8,8,10,10,10,-23,50,0.1,95,68,4.2,6,1,"1,320","1,790",3
Birmingham,Alabama,212461,33.520661,-86.80249,0,1,0,1,1,3,1,3,-16,-17,0.9,93,59,8.3,9,-1,"8,020","8,310",5
Montgomery,Alabama,200602,32.366805,-86.29996899999999,0,2,0,2,3,4,3,4,-16,-17,0.9,93,59,8.3,9,-1,"8,020","8,310",5
Mobile,Alabama,194288,30.695365999999996,-88.039891,0,1,0,1,4,6,7,9,-16,-17,0.9,93,59,8.3,9,-1,"8,020","8,310",5
Huntsville,Alabama,190582,34.730369,-86.586104,0,3,0,3,0,3,0,4,-16,-17,0.9,93,59,8.3,9,-1,"8,020","8,310",5
Tuscaloosa,Alabama,98332,33.209841,-87.56917299999999,0,1,0,1,0,4,0,4,-16,-17,0.9,93,59,8.3,9,-1,"8,020","8,310",5
Hoover,Alabama,84848,33.405387,-86.811378,0,1,0,1,1,3,1,3,-16,-17,0.9,93,59,8.3,9,-1,"8,020","8,310",5
Dothan,Alabama,68567,31.223231,-85.390489,3,3,3,3,6,6,6,7,-16,-17,0.9,93,59,8.3,9,-1,"8,020","8,310",5
Auburn,Alabama,62059,32.609857,-85.48078199999999,1,1,1,1,3,3,3,3,-16,-17,0.9,93,59,8.3,9,-1,"8,020","8,310",5
Decatur,Alabama,55437,34.605925,-86.98334200000001,1,2,1,2,1,3,1,4,-16,-17,0.9,93,59,8.3,9,-1,"8,020","8,310",5
Des Moines,Iowa,210330,41.600545000000004,-93.60910600000001,0,1,0,3,0,3,3,4,-23,-29,0.5,89,42,7.5,7,-5,"4,380","3,930",12
Cedar Rapids,Iowa,130405,41.97788,-91.665623,1,1,1,1,1,1,1,7,-23,-29,0.5,89,42,7.5,7,-5,"4,380","3,930",12
Davenport,Iowa,102582,41.523644,-90.577637,0,2,2,2,2,2,2,5,-23,-29,0.5,89,42,7.5,7,-5,"4,380","3,930",12
Sioux City,Iowa,82821,42.499994,-96.400307,2,2,2,3,3,3,3,8,-23,-29,0.5,89,42,7.5,7,-5,"4,380","3,930",12
Iowa City,Iowa,74220,41.661128000000005,-91.530168,0,0,0,0,0,0,0,6,-23,-29,0.5,89,42,7.5,7,-5,"4,380","3,930",12
Waterloo,Iowa,68460,42.492785999999995,-92.342577,0,2,2,2,2,2,2,6,-23,-29,0.5,89,42,7.5,7,-5,"4,380","3,930",12
Council Bluffs,Iowa,62597,41.261944,-95.860833,0,0,0,0,0,0,0,5,-23,-29,0.5,89,42,7.5,7,-5,"4,380","3,930",12
Ames,Iowa,65060,42.030781,-93.631913,0,1,1,4,1,4,4,5,-23,-29,0.5,89,42,7.5,7,-5,"4,380","3,930",12
West Des Moines,Iowa,64113,41.577211,-93.711332,0,1,0,3,0,3,3,4,-23,-29,0.5,89,42,7.5,7,-5,"4,380","3,930",12
Dubuque,Iowa,58799,42.500558000000005,-90.66457199999999,2,3,3,3,3,3,3,5,-23,-29,0.5,89,42,7.5,7,-5,"4,380","3,930",12
Ankeny,Iowa,56764,41.731788,-93.600128,0,0,0,3,0,3,3,4,-23,-29,0.5,89,42,7.5,7,-5,"4,380","3,930",12
Little Rock,Arkansas,197992,34.746481,-92.28959499999999,0,0,0,4,0,6,0,9,4,0,0.5,97,77,8,8,0,"4,590","4,350",3
Fort Smith,Arkansas,88194,35.385923999999996,-94.398547,2,3,3,4,4,5,4,5,4,0,0.5,97,77,8,8,0,"4,590","4,350",3
Fayetteville,Arkansas,82830,36.082156,-94.17185400000001,0,3,3,5,5,7,5,7,4,0,0.5,97,77,8,8,0,"4,590","4,350",3
Springdale,Arkansas,77859,36.186744,-94.128814,0,3,3,5,5,6,5,6,4,0,0.5,97,77,8,8,0,"4,590","4,350",3
Jonesboro,Arkansas,73907,35.842296999999995,-90.704279,2,2,2,2,4,7,4,7,4,0,0.5,97,77,8,8,0,"4,590","4,350",3
North Little Rock,Arkansas,66504,34.769535999999995,-92.267094,0,0,0,4,0,6,0,9,4,0,0.5,97,77,8,8,0,"4,590","4,350",3
Conway,Arkansas,64980,35.088696,-92.442101,1,1,1,4,1,7,1,9,4,0,0.5,97,77,8,8,0,"4,590","4,350",3
Rogers,Arkansas,63159,36.33202,-94.118537,1,4,4,6,6,6,6,6,4,0,0.5,97,77,8,8,0,"4,590","4,350",3
Salt Lake City,Utah,192672,40.760779,-111.891047,0,0,0,0,0,11,0,11,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
West Valley City,Utah,136208,40.691613000000004,-112.00105,0,0,0,0,0,11,0,11,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
Provo,Utah,115264,40.233844,-111.658534,1,1,1,1,1,10,1,10,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
West Jordan,Utah,111946,40.60967,-111.939103,0,0,0,0,0,11,0,11,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
Orem,Utah,94457,40.296898,-111.694648,1,1,1,1,1,10,1,10,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
Sandy,Utah,93613,40.564978,-111.838973,0,1,0,1,1,11,1,11,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
Ogden,Utah,85444,41.223,-111.97383,1,1,1,1,1,13,1,12,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
St. George,Utah,80202,37.096528,-113.56841599999998,3,3,3,3,3,3,3,3,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
Layton,Utah,74143,41.060221999999996,-111.971053,0,1,0,1,1,13,1,12,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
Taylorsville,Utah,60514,40.667725,-111.938826,0,0,0,0,0,11,0,11,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
South Jordan,Utah,66648,40.56217,-111.929658,0,0,0,0,0,11,0,11,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
Lehi,Utah,58486,40.391617,-111.850766,1,1,1,1,1,10,1,10,-14,-50,0.3,97,62,4.6,5,-2,"2,960","2,960",2
